Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Mixed,Group C (set 5-7),3,Single game,Wonka washed,Creed Energy,Wonka washed,15,10,,,,,Emil Grönebaum,Lou Washburn,,Alina Pîrlea,Ciprian Bizdideanu,
Group Stage,Mixed,Group C (set 5-7),3,Single game,Grober Heinz,Seb feat. Bob-mixed,Grober Heinz,15,10,,,,,Julia Grob,Yvo Heinen,Julia Grob,Irina Bob,Sebi Mezzey,
Group Stage,Mixed,Group D ( set 8-10),3,Single game,Pinkey Jinkey,BlockWiener,BlockWiener,14,16,,,,,Alina Teskey,David Jindra,,Pol Loutsch,Angelika Bauer,
Group Stage,Mixed,Group D ( set 8-10),3,Single game,Grantschmann and Kornetto,Key of happiness,Grantschmann and Kornetto,15,11,,,,,Stefan Handschmann,Ines Kornek,,Felicia Höchtl,Tobias Alraun,
Group Stage,Mixed,Group D ( set 8-10),3,Single game,Trash TV,Hasty and Dirty Roundnet,Hasty and Dirty Roundnet,13,15,,,,,Vivien Less,Tim Bichler,,Costanza Patat,Lukas Lemberger,
Group Stage,Mixed,Group A (set 1-2),4,Single game,Double T,Let‘s Gogo,Let‘s Gogo,13,15,,,,,Frederik Theunis,Marie-Alexia Teisseyre,,Gabriel Stoisser,Constanze Lehner,
Group Stage,Mixed,Group A (set 1-2),4,Single game,Euro Unity,Spike’s parents,Euro Unity,15,7,,,,,Sabina Labonc,Aleksandrs Juška,,Ellinor Gustavsson,Felix Millton,
Group Stage,Mixed,Group B (set 3-4),4,Single game,Uteg/Klement,Mereri Victoria,Uteg/Klement,15,11,,,,,Janne Uteg,Tim Klement,,Aylin Altenwegner,Jaroslav Čabala,
Group Stage,Mixed,Group B (set 3-4),4,Single game,Otter,Code Blue,Otter,15,13,,,,,Yasmin Graeter,Jorge Donayre,,Jakub Víšek,Tereza Caltová,
Group Stage,Mixed,Group C (set 5-7),4,Single game,Late Night Paella,Grober Heinz,Grober Heinz,11,15,,,,,Esaja Ekman,Nicole Fatt,,Julia Grob,Yvo Heinen,Julia Grob
Group Stage,Mixed,Group C (set 5-7),4,Single game,Wonka washed,P🍄WER UP!,Wonka washed,15,9,,,,,Emil Grönebaum,Lou Washburn,,Britt Vankemenade,joeri vlassaks,
Group Stage,Mixed,Group C (set 5-7),4,Single game,Seb feat. Bob-mixed,Creed Energy,Seb feat. Bob-mixed,15,10,,,,,Irina Bob,Sebi Mezzey,,Alina Pîrlea,Ciprian Bizdideanu,
Group Stage,Mixed,Group D ( set 8-10),4,Single game,Pinkey Jinkey,Trash TV,Pinkey Jinkey,15,13,,,,,Alina Teskey,David Jindra,,Vivien Less,Tim Bichler,
Group Stage,Mixed,Group D ( set 8-10),4,Single game,Grantschmann and Kornetto,BlockWiener,Grantschmann and Kornetto,21,7,,,,,Stefan Handschmann,Ines Kornek,,Pol Loutsch,Angelika Bauer,
Group Stage,Mixed,Group D ( set 8-10),4,Single game,Hasty and Dirty Roundnet,Key of happiness,Hasty and Dirty Roundnet,15,11,,,,,Costanza Patat,Lukas Lemberger,,Felicia Höchtl,Tobias Alraun,
Group Stage,Mixed,Group A (set 1-2),5,Single game,It's a 30,Double T,Double T,14,16,,,,,Daniela Kadlec,Yosha Vandaele,,Frederik Theunis,Marie-Alexia Teisseyre,
Group Stage,Mixed,Group A (set 1-2),5,Single game,Let‘s Gogo,Euro Unity,Euro Unity,10,15,,,,,Gabriel Stoisser,Constanze Lehner,,Sabina Labonc,Aleksandrs Juška,
